Department,Entity,Pay Date,Product Family,Expense area,Supplier Name,Transaction Number,Net Amount
DESNZ,UKAEA,31/01/2024,ICT,Fusion,P-Card Supplier,5157621,776.82
DESNZ,UKAEA,31/01/2024,ICT,Fusion,P-Card Supplier,5157621,779.99
DESNZ,UKAEA,31/01/2024,Travel,Fusion,P-Card Supplier,5157624,600.00
DESNZ,UKAEA,31/01/2024,Travel,Fusion,P-Card Supplier,5157624,"1,059.16"
DESNZ,UKAEA,31/01/2024,Travel,Other,P-Card Supplier,5157624,"1,663.30"
DESNZ,UKAEA,10/01/2024,Engineering Goods,Other,P-Card Supplier,5157624,"4,036.99"
DESNZ,UKAEA,31/01/2024,Travel,Fusion,P-Card Supplier,5157675,629.10
DESNZ,UKAEA,31/01/2024,Engineering Goods,Fusion,P-Card Supplier,5157691,558.48
DESNZ,UKAEA,31/01/2024,Engineering Goods,Fusion,P-Card Supplier,5157719,636.36
DESNZ,UKAEA,31/01/2024,Other Employee Expenses,Fusion,P-Card Supplier,5157761,-640.92
DESNZ,UKAEA,31/01/2024,Travel,Support Services,P-Card Supplier,5157834,500.00
DESNZ,UKAEA,31/01/2024,Office Solutions,Fusion,P-Card Supplier,5157836,814.99
DESNZ,UKAEA,31/01/2024,Personnel Related,Other,P-Card Supplier,5157836,860.00
DESNZ,UKAEA,31/01/2024,Travel,Other,P-Card Supplier,5157871,860.00
DESNZ,UKAEA,31/01/2024,Travel,Other,P-Card Supplier,5157871,860.00
DESNZ,UKAEA,05/01/2024,Facilities,Support Services,P-Card Supplier,5157871,"1,385.19"
DESNZ,UKAEA,31/01/2024,Office Solutions,Fusion,P-Card Supplier,5158068,823.92
DESNZ,UKAEA,31/01/2024,ICT,Support Services,P-Card Supplier,5158108,"1,176.27"
DESNZ,UKAEA,31/01/2024,ICT,Support Services,P-Card Supplier,5158108,"1,288.81"
DESNZ,UKAEA,31/01/2024,Travel,Fusion,P-Card Supplier,5158121,646.78
DESNZ,UKAEA,17/01/2024,ICT,Support Services,P-Card Supplier,5158121,789.50
DESNZ,UKAEA,31/01/2024,Communications,Support Services,P-Card Supplier,5158137,519.99
DESNZ,UKAEA,31/01/2024,Travel,Fusion,P-Card Supplier,5158168,647.52
DESNZ,UKAEA,31/01/2024,Travel,Fusion,P-Card Supplier,5158168,647.52
DESNZ,UKAEA,31/01/2024,Office Solutions,Support Services,P-Card Supplier,5158177,589.25
DESNZ,UKAEA,31/01/2024,Travel,Other,P-Card Supplier,5158194,854.79
DESNZ,UKAEA,31/01/2024,Work Visa Costs,Other,P-Card Supplier,5158197,"2,199.00"
