Department,Entity,Pay Date,Product Family,Expense area,Supplier Name,Transaction Number,Net Amount
DESNZ,UKAEA,27/02/2024,Research,Other,Full Matrix Ltd,5170081,"-67,715.64"
DESNZ,UKAEA,27/02/2024,Research,Other,Full Matrix Ltd,5170078,"-63,712.78"
DESNZ,UKAEA,12/02/2024,Professional Services,Other,Appleyard Lees IP LLP,5169258,"1,001.10"
DESNZ,UKAEA,27/02/2024,Operational Goods,Other,Arco Ltd,5170754,"1,901.75"
DESNZ,UKAEA,19/02/2024,Travel,Other,Sundry Supplier,5170090,"1,968.75"
DESNZ,UKAEA,12/02/2024,Professional Services,Other,Appleyard Lees IP LLP,5169259,"2,056.70"
DESNZ,UKAEA,14/02/2024,ICT,Other,International Fire Consulting Ltd,5169692,"2,500.00"
DESNZ,UKAEA,27/02/2024,Communications,Other,Cision,5170810,"2,824.00"
DESNZ,UKAEA,27/02/2024,Facilities,Other,GALSON SCIENCES LIMITED,5170600,"4,380.00"
DESNZ,UKAEA,05/02/2024,Consultancy - Other (per Cabinet Office definition),Other,Adiuvo Engineering & Training Ltd,5168517,"6,000.00"
DESNZ,UKAEA,12/02/2024,Professional Services,Other,Haseltine Lake Kempner LLP,5169257,"7,760.00"
DESNZ,UKAEA,12/02/2024,Communications,Other,Simon Florey and Son Marquee Hire Limited,5169408,"25,832.10"
DESNZ,UKAEA,27/02/2024,Research,Other,Full Matrix Ltd,5170622,"42,795.14"
DESNZ,UKAEA,05/02/2024,Research,Other,Oxford Sigma Technologies Ltd,5168664,"60,973.30"
DESNZ,UKAEA,27/02/2024,Research,Other,Full Matrix Ltd,5170634,"76,455.33"
DESNZ,UKAEA,27/02/2024,Research,Other,Full Matrix Ltd,5170082,"81,258.77"
DESNZ,UKAEA,14/02/2024,Research,Other,Frazer Nash Consultancy,5169728,"100,000.00"
DESNZ,UKAEA,14/02/2024,Research,Other,AQSORPTION LIMITED,5169755,"136,696.00"
DESNZ,UKAEA,19/02/2024,Research,Other,University of Bristol,5170076,"172,032.00"
DESNZ,UKAEA,21/02/2024,Research,Other,Jacobs U.K. Limited,5170409,"174,000.00"
DESNZ,UKAEA,27/02/2024,Research,Other,Duality Quantum Photonics Ltd,5170621,"228,185.64"
DESNZ,UKAEA,14/02/2024,Research,Other,Cal Gavin Ltd,5169694,"230,000.00"
DESNZ,UKAEA,27/02/2024,Research,Other,TWI Ltd,5170683,"299,055.00"
DESNZ,UKAEA,14/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169383,503.70
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5168976,539.50
DESNZ,UKAEA,14/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169284,590.00
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169119,849.00
DESNZ,UKAEA,21/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5170003,"1,485.76"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5168901,"1,553.19"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169128,"1,586.58"
DESNZ,UKAEA,14/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169344,"1,591.89"
DESNZ,UKAEA,14/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169431,"1,591.89"
DESNZ,UKAEA,14/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169422,"1,698.02"
DESNZ,UKAEA,14/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169430,"1,776.60"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169032,"1,804.14"
DESNZ,UKAEA,14/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169296,"1,844.28"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169005,"1,919.70"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169167,"1,948.16"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169075,"1,966.29"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5168940,"2,016.39"
DESNZ,UKAEA,14/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169628,"2,207.40"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169114,"2,266.40"
DESNZ,UKAEA,14/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169298,"2,270.98"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5168604,"2,297.74"
