Department,Entity,Pay Date,Product Family,Expense area,Supplier Name,Transaction Number,Net Amount
DESNZ,UKAEA,05/03/2024,Communications,Other,32West Ltd,5171456,"6,416.25"
DESNZ,UKAEA,18/03/2024,Communications,Other,32West Ltd,5172476,"12,070.63"
DESNZ,UKAEA,18/03/2024,Research,Other,3-Sci Ltd,5172366,"89,600.40"
DESNZ,UKAEA,11/03/2024,Consultancy - Other (per Cabinet Office definition),Fusion,4C Associates Ltd,5172053,"8,530.47"
DESNZ,UKAEA,11/03/2024,Professional Services,Fusion,4C Associates Ltd,5171730,"194,849.03"
DESNZ,UKAEA,20/03/2024,Engineering Goods,Fusion,A W Clarke,5172992,675.60
DESNZ,UKAEA,20/03/2024,Engineering Goods,Fusion,A W Clarke,5172843,"1,076.70"
DESNZ,UKAEA,20/03/2024,Engineering Goods,Fusion,A W Clarke,5172842,"6,232.67"
DESNZ,UKAEA,07/03/2024,Travel,Other,Aachen Institute for Nuclear Training Gmbh,5171051,"1,141.37"
DESNZ,UKAEA,20/03/2024,Engineering Goods,Fusion,Aalco Limited,5172748,"3,556.95"
DESNZ,UKAEA,20/03/2024,Engineering Goods,Fusion,Aalco Limited,5172012,-810.90
DESNZ,UKAEA,25/03/2024,Engineering Goods,Property,ABB Ltd,5173389,"3,930.00"
DESNZ,UKAEA,25/03/2024,Communications,Property,ABB Ltd,5173389,"15,810.00"
DESNZ,UKAEA,05/03/2024,Construction,Fusion,Abingdon Access Ltd.,5171202,"5,197.21"
DESNZ,UKAEA,11/03/2024,ICT,Fusion,Academia,5171964,"23,076.12"
DESNZ,UKAEA,25/03/2024,ICT,Fusion,Academia,5173339,"37,763.78"
DESNZ,UKAEA,25/03/2024,Engineering Goods,Fusion,Acal Bfi UK Limited,5173011,"21,854.00"
DESNZ,UKAEA,18/03/2024,Research,Fusion,Acantecs Limited,5172671,"3,168.00"
DESNZ,UKAEA,25/03/2024,Engineering Goods,Fusion,Accu Limited,5173129,647.57
DESNZ,UKAEA,25/03/2024,Engineering Goods,Fusion,Accu Limited,5173144,647.57
DESNZ,UKAEA,25/03/2024,Engineering Goods,Fusion,Acrona Engineering Ltd,5173211,"1,761.23"
DESNZ,UKAEA,11/03/2024,Engineering Goods,Other,Acrona Engineering Ltd,5171684,738.64
DESNZ,UKAEA,11/03/2024,Engineering Goods,Other,Acrona Engineering Ltd,5171877,"2,100.00"
DESNZ,UKAEA,11/03/2024,Engineering Goods,Other,Acrona Engineering Ltd,5171702,"2,789.64"
DESNZ,UKAEA,25/03/2024,Engineering Goods,Fusion,AD Metal Spinners Ltd,5173105,785.55
DESNZ,UKAEA,20/03/2024,Consultancy - Other (per Cabinet Office definition),Fusion,Advanced Cryogenic Materials Ltd,5172885,"4,125.00"
DESNZ,UKAEA,20/03/2024,Facilities,Property,Advanced Demand Side Management Limited,5172606,"26,047.05"
DESNZ,UKAEA,20/03/2024,Engineering Goods,Fusion,Advatech UK Ltd,5172879,"16,360.00"
DESNZ,UKAEA,13/03/2024,Engineering Goods,Fusion,Agilent Technologies LDA UK Limited,5172270,"9,720.00"
DESNZ,UKAEA,22/03/2024,Engineering Goods,Fusion,Air Liquide Advanced Technologies,5172492,"54,212.01"
DESNZ,UKAEA,25/03/2024,Personnel Related,Support Services,Airmic Ltd,5173288,"2,470.00"
DESNZ,UKAEA,11/03/2024,Engineering Goods,Fusion,Alan Browne Lapping Services Ltd,5172019,"1,396.00"
DESNZ,UKAEA,22/03/2024,Engineering Goods,Fusion,"All Metal Sales, Inc",5173104,"19,490.80"
DESNZ,UKAEA,25/03/2024,Engineering Goods,Fusion,Allectra Ltd,5173275,736.00
DESNZ,UKAEA,05/03/2024,Engineering Goods,Fusion,Allectra Ltd,5171061,"5,458.90"
DESNZ,UKAEA,11/03/2024,Research,Other,Alloyed Ltd,5172096,"256,834.68"
DESNZ,UKAEA,25/03/2024,Engineering Goods,Fusion,Alpha Laboratories Ltd,5173336,835.34
DESNZ,UKAEA,05/03/2024,Research,Other,Altido Group Limited,5171122,"16,000.00"
DESNZ,UKAEA,25/03/2024,Research,Other,Altido Group Limited,5173343,"16,000.00"
