Department,Entity,Pay Date,Product Family,Expense area,Supplier Name,Transaction Number,Net Amount
DESNZ,UKAEA,5/4/2023,Engineering Goods,Fusion,Aalco Limited,5127199,-749.88
DESNZ,UKAEA,13/04/2023,Engineering Goods,Fusion,Hidex Chemicals,5138360,"6,142.50"
DESNZ,UKAEA,26/04/2023,Hired Agency Staff - Rullion CMF/PO,Support Services,Rullion Engineering Ltd,5140534,"11,587.50"
DESNZ,UKAEA,20/04/2023,Research,Fusion,CNR Consiglio Nazionale delle Ricerche,5142240,"14,059.28"
DESNZ,UKAEA,17/04/2023,Personnel Related,Support Services,CGI IT UK Limited,5142815,731.5
DESNZ,UKAEA,17/04/2023,Personnel Related,Support Services,CGI IT UK Limited,5142816,"7,620.48"
DESNZ,UKAEA,24/04/2023,Facilities,Property,OCS Group UK Ltd,5143167,"1,973.20"
DESNZ,UKAEA,24/04/2023,Facilities,Fusion,OCS Group UK Ltd,5143169,"3,420.21"
DESNZ,UKAEA,24/04/2023,Facilities,Property,OCS Group UK Ltd,5143170,"2,104.75"
DESNZ,UKAEA,24/04/2023,Facilities,Property,OCS Group UK Ltd,5143171,"5,416.02"
DESNZ,UKAEA,24/04/2023,Facilities,Property,OCS Group UK Ltd,5143206,"2,098.43"
DESNZ,UKAEA,24/04/2023,Facilities,Property,OCS Group UK Ltd,5143207,598.53
DESNZ,UKAEA,24/04/2023,Facilities,Property,OCS Group UK Ltd,5143208,"10,718.32"
DESNZ,UKAEA,24/04/2023,Facilities,Fusion,OCS Group UK Ltd,5143521,"3,278.16"
DESNZ,UKAEA,26/04/2023,Engineering Goods,Other,APC Technology Group plc,5144199,"3,903.51"
DESNZ,UKAEA,26/04/2023,Engineering Goods,Other,APC Technology Group plc,5144200,"16,504.84"
DESNZ,UKAEA,17/04/2023,Personnel Related,Support Services,CGI IT UK Limited,5144743,"2,160.90"
DESNZ,UKAEA,13/04/2023,Learning and Development,Other,Safran Software Solutions AS,5144902,695
DESNZ,UKAEA,5/4/2023,Research,Other,HSE - Financial Operations,5145125,"-5,011.00"
DESNZ,UKAEA,5/4/2023,Engineering Goods,Fusion,Burckhardt Compression UK Ltd,5145296,"7,932.60"
DESNZ,UKAEA,5/4/2023,Engineering Goods,Fusion,Sundry Supplier,5145297,"1,197.00"
DESNZ,UKAEA,5/4/2023,ICT,Fusion,Comsol,5145300,"17,990.00"
DESNZ,UKAEA,5/4/2023,Engineering Goods,Fusion,Budget Forktrucks Ltd,5145305,736.67
DESNZ,UKAEA,5/4/2023,Engineering Goods,Property,Budget Forktrucks Ltd,5145306,"1,256.67"
DESNZ,UKAEA,5/4/2023,Engineering Goods,Fusion,RS Components Ltd,5145307,"3,144.00"
DESNZ,UKAEA,5/4/2023,Engineering Goods,Fusion,Budget Forktrucks Ltd,5145314,606.67
DESNZ,UKAEA,5/4/2023,Engineering Goods,Fusion,Budget Forktrucks Ltd,5145315,606.67
DESNZ,UKAEA,5/4/2023,Professional Services,Property,Oxford Innovation Ltd.,5145317,"7,399.20"
DESNZ,UKAEA,5/4/2023,Engineering Goods,Fusion,Anixter UK Ltd,5145320,912.4
DESNZ,UKAEA,5/4/2023,Professional Services,Property,Carter Jonas LLP,5145321,"1,500.00"
DESNZ,UKAEA,5/4/2023,Facilities,Other,SouthernsBroadstock Limited,5145323,"12,722.00"
DESNZ,UKAEA,5/4/2023,Research,Other,Frazer Nash Consultancy,5145326,"21,055.20"
DESNZ,UKAEA,5/4/2023,Construction,Property,Anixter UK Ltd,5145332,511
DESNZ,UKAEA,5/4/2023,Professional Services,Property,Blake Morgan LLP,5145335,"1,201.20"
DESNZ,UKAEA,5/4/2023,Professional Services,Property,Blake Morgan LLP,5145337,"2,001.80"
