Department,Entity,Pay Date,Product Family,Expense area,Supplier Name,Transaction Number,Net Amount
DESNZ,UKAEA,17/05/2023,Research,Fusion,CNR Consiglio Nazionale delle Ricerche,5145663,"4,649.52"
DESNZ,UKAEA,17/05/2023,Research,Fusion,CNR Consiglio Nazionale delle Ricerche,5146533,"4,641.88"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,Swagelok London,5146776,"-1,232.64"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,Swagelok London,5146778,"1,232.64"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5146958,"4,048.00"
DESNZ,UKAEA,4/5/2023,Research,Fusion,Bangor University,5146959,"10,000.00"
DESNZ,UKAEA,4/5/2023,Research,Fusion,University of Oxford,5146960,"12,280.00"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5146962,"3,824.70"
DESNZ,UKAEA,4/5/2023,Learning and Development,Support Services,Premier People Solutions T/A Premier Partnership,5146963,550
DESNZ,UKAEA,4/5/2023,Facilities,Other,Innerspec Technologies UK Ltd.,5146965,"5,000.00"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5146967,"14,172.80"
DESNZ,UKAEA,4/5/2023,Facilities,Fusion,Engineering Analysis Services Ltd,5146968,"7,079.88"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Other,Francis Brown Limited,5146969,"1,184.04"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,Feedwater Ltd,5146970,"1,483.00"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,Life Safety Distribution GmbH,5146971,"2,650.00"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5146972,"3,315.02"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5146973,"5,123.00"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5146974,"1,407.76"
DESNZ,UKAEA,4/5/2023,Facilities,Fusion,Engineering Analysis Services Ltd,5146975,"9,485.18"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,Sunbelt Rentals Limited,5146976,529.4
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Support Services,Rullion Engineering Ltd,5146978,"7,108.89"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5146981,"5,966.01"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5146982,"5,865.94"
DESNZ,UKAEA,4/5/2023,Facilities,Fusion,Engineering Analysis Services Ltd,5146984,"1,676.68"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,Edwards Limited,5146986,580.55
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5146987,"7,950.00"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5146988,"3,247.80"
DESNZ,UKAEA,4/5/2023,Professional Services,Property,McBains Ltd,5146989,"20,016.00"
DESNZ,UKAEA,9/5/2023,Engineering Goods,Other,Workplace Interiors Company Cheltenham Ltd T/A Contract Interior Systems,5146991,"3,343.50"
DESNZ,UKAEA,9/5/2023,Engineering Goods,Fusion,Workplace Interiors Company Cheltenham Ltd T/A Contract Interior Systems,5146994,"10,727.40"
DESNZ,UKAEA,9/5/2023,Engineering Goods,Other,Workplace Interiors Company Cheltenham Ltd T/A Contract Interior Systems,5146995,"11,393.40"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Support Services,Rullion Engineering Ltd,5146997,"3,678.68"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Support Services,Rullion Engineering Ltd,5146998,"9,080.09"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5146999,"5,586.38"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Property,Rullion Engineering Ltd,5147000,"2,674.52"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147001,"11,462.22"
DESNZ,UKAEA,4/5/2023,Professional Services,Support Services,HM Treasury T/A Government Internal Audit Service,5147002,"15,111.25"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,Edm Precision Technologies Ltd,5147003,"2,420.00"
DESNZ,UKAEA,10/5/2023,Engineering Goods,Fusion,Haltermann Carless UK Ltd,5147004,"-5,568.00"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,Van Toan Lee LTD,5147005,850
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,Van Toan Lee LTD,5147006,850
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147007,"7,061.28"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147008,"2,599.56"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147009,"3,400.53"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147011,"1,167.84"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Support Services,Rullion Engineering Ltd,5147012,"6,246.00"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147014,"3,924.38"
DESNZ,UKAEA,4/5/2023,Consultancy - Other (per Cabinet Office definition),Property,Au Security Consulting Ltd,5147015,"20,153.15"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5147016,"4,869.72"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5147019,"2,131.29"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147020,"1,541.19"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Other,Ind-Tech Ltd,5147023,"1,495.00"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147025,"7,061.53"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Support Services,Rullion Engineering Ltd,5147026,"9,922.52"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Support Services,Rullion Engineering Ltd,5147027,"11,830.55"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5147028,"7,810.52"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,FISHERSCIENTIFIC,5147030,595.03
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Support Services,Rullion Engineering Ltd,5147031,"8,557.52"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5147032,"13,516.38"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Support Services,Rullion Engineering Ltd,5147033,"6,966.76"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Support Services,Rullion Engineering Ltd,5147034,"5,563.56"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147035,"5,908.52"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147036,"6,705.00"
DESNZ,UKAEA,4/5/2023,Professional Services,Property,Burges Salmon,5147037,"6,026.00"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147038,"5,461.20"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147040,"5,767.83"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,Complete PCB Services Ltd,5147042,"3,635.16"
DESNZ,UKAEA,4/5/2023,Professional Services,Property,Blake Morgan LLP,5147043,"3,057.60"
DESNZ,UKAEA,4/5/2023,ICT,Property,Snelling Business Systems Limited,5147044,"50,953.00"
DESNZ,UKAEA,9/5/2023,Engineering Goods,Other,Workplace Interiors Company Cheltenham Ltd T/A Contract Interior Systems,5147046,"8,737.20"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147047,"3,481.52"
DESNZ,UKAEA,4/5/2023,Facilities,Fusion,Engineering Analysis Services Ltd,5147048,724.6
DESNZ,UKAEA,4/5/2023,Engineering Goods,Property,Edmundson Electricals Ltd,5147049,"1,669.85"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147051,"5,161.50"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147052,"7,608.00"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147053,"1,470.75"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147054,"1,286.16"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147055,"2,863.06"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Support Services,Rullion Engineering Ltd,5147056,"1,951.40"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147057,"6,878.20"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147058,"8,331.84"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147059,"5,158.65"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147060,"5,728.52"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,Edwards Limited,5147061,710.13
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147062,"5,883.00"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147063,"3,138.64"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5147064,"4,074.00"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147065,"5,883.01"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Other,Intamet,5147066,"1,233.00"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147067,"6,967.52"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Other,Ind-Tech Ltd,5147068,"3,520.00"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Fusion,S&D Non-Ferrous Stockholders Ltd,5147069,"3,740.00"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Other,BOFA International Ltd.,5147070,885
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147074,"3,577.88"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147075,"1,936.28"
DESNZ,UKAEA,4/5/2023,Learning and Development,Support Services,Neurodiversity Specialists,5147077,"1,750.00"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5147079,"3,188.72"
DESNZ,UKAEA,9/5/2023,Hired Agency Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5147082,"14,394.51"
DESNZ,UKAEA,4/5/2023,Engineering Goods,Other,Farnell Electronic Components Ltd,5147084,954.94
DESNZ,UKAEA,10/5/2023,Engineering Goods,Fusion,Haltermann Carless UK Ltd,5147087,"5,336.00"
