Department,Entity,Pay Date,Product Family,Expense area,Supplier Name,Transaction Number,Net Amount
DESNZ,UKAEA,30/06/2023,Personnel Related,Support Services,CGI IT UK Limited,5145834,"9,864.78"
DESNZ,UKAEA,30/06/2023,Personnel Related,Support Services,CGI IT UK Limited,5145835,814.30
DESNZ,UKAEA,21/06/2023,Engineering Goods,Other,Rexel UK Ltd (Abingdon),5145899,"-1,582.60"
DESNZ,UKAEA,07/06/2023,Facilities,Other,Tech Weld I Blekinge AB,5147260,"2,047.44"
DESNZ,UKAEA,28/06/2023,Construction,Fusion,Sudlows Limited,5147295,"3,351.38"
DESNZ,UKAEA,08/06/2023,Logistics and Shipping,Fusion,Sundry Supplier,5148016,"5,146.45"
DESNZ,UKAEA,08/06/2023,Engineering Goods,Fusion,Alluxa INC,5148305,"6,685.77"
DESNZ,UKAEA,07/06/2023,Travel,Support Services,UNITAXI LTD,5148433,-888.90
DESNZ,UKAEA,22/06/2023,Engineering Goods,Other,Kinova Inc,5148440,"34,124.33"
DESNZ,UKAEA,21/06/2023,Learning and Development,Support Services,Proactive UK Ltd,5148452,-745.00
DESNZ,UKAEA,22/06/2023,Engineering Goods,Fusion,Compagnie Industrielle Des Laser Cilas,5148922,"42,720.00"
DESNZ,UKAEA,12/06/2023,Engineering Goods,Fusion,National Instruments Ltd,5148949,"-2,120.00"
DESNZ,UKAEA,21/06/2023,Engineering Goods,Other,Rexel UK Ltd (Abingdon),5148975,690.86
DESNZ,UKAEA,28/06/2023,Facilities,Fusion,ICS Cool Energy Ltd,5149009,-856.97
DESNZ,UKAEA,07/06/2023,Facilities,Other,Tech Weld I Blekinge AB,5149207,"-2,047.44"
DESNZ,UKAEA,08/06/2023,Engineering Goods,Fusion,Solid State Supplies Ltd,5149296,"58,523.77"
DESNZ,UKAEA,08/06/2023,Engineering Goods,Fusion,XIMEA GmbH,5149410,"2,190.71"
DESNZ,UKAEA,05/06/2023,Personnel Related,Other,Restore Ltd,5149421,-895.00
DESNZ,UKAEA,05/06/2023,Personnel Related,Other,Restore Ltd,5149421,895.00
DESNZ,UKAEA,06/06/2023,Hired Agency Staff - Rullion CMF/PO,UKAEA Staff Management,Rullion Engineering Ltd,5149422,"4,027.21"
DESNZ,UKAEA,06/06/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5149431,"2,357.88"
DESNZ,UKAEA,05/06/2023,ICT,Fusion,Snelling Business Systems Limited,5149432,637.00
DESNZ,UKAEA,06/06/2023,Hired Agency Staff - Rullion CMF/PO,Support Services,Rullion Engineering Ltd,5149433,"2,500.00"
DESNZ,UKAEA,05/06/2023,Professional Services,Property,Carter Jonas LLP,5149434,935.00
DESNZ,UKAEA,05/06/2023,Engineering Goods,Fusion,Farnell Electronic Components Ltd,5149435,"2,578.00"
DESNZ,UKAEA,05/06/2023,Engineering Goods,Fusion,RS Components Ltd,5149437,"1,847.77"
DESNZ,UKAEA,05/06/2023,Engineering Goods,Fusion,New Pig Ltd,5149439,661.50
DESNZ,UKAEA,06/06/2023,Hired Agency Staff - Rullion CMF/PO,UKAEA Staff Management,Rullion Engineering Ltd,5149442,"3,961.23"
DESNZ,UKAEA,05/06/2023,ICT,Property,Snelling Business Systems Limited,5149443,"266,803.00"
DESNZ,UKAEA,05/06/2023,Travel,Fusion,University of York - GBP,5149445,"1,123.96"
DESNZ,UKAEA,05/06/2023,Operational Goods,Fusion,Arco Ltd,5149446,584.00
DESNZ,UKAEA,06/06/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5149448,"2,978.00"
DESNZ,UKAEA,06/06/2023,Hired Agency Staff - Rullion CMF/PO,Support Services,Rullion Engineering Ltd,5149449,"13,702.06"
DESNZ,UKAEA,06/06/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5149451,"8,751.54"
DESNZ,UKAEA,06/06/2023,Hired Agency Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5149459,"12,334.90"
DESNZ,UKAEA,06/06/2023,Hired Agency Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5149460,"5,703.60"
DESNZ,UKAEA,06/06/2023,Hired Agency Staff - Rullion CMF/PO,Support Services,Rullion Engineering Ltd,5149461,"11,480.09"
DESNZ,UKAEA,05/06/2023,Professional Services,Property,Carter Jonas LLP,5149462,"2,907.00"
DESNZ,UKAEA,06/06/2023,Hired Agency Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5149463,"10,557.46"
DESNZ,UKAEA,06/06/2023,Hired Agency Staff - Rullion CMF/PO,Support Services,Rullion Engineering Ltd,5149465,"8,383.83"
DESNZ,UKAEA,06/06/2023,Hired Agency Staff - Rullion CMF/PO,Support Services,Rullion Engineering Ltd,5149466,"5,832.92"
DESNZ,UKAEA,06/06/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5149467,"6,524.22"
DESNZ,UKAEA,06/06/2023,Hired Agency Staff - Rullion CMF/PO,Support Services,Rullion Engineering Ltd,5149468,"10,894.97"
DESNZ,UKAEA,05/06/2023,Engineering Goods,Fusion,Budget Forktrucks Ltd,5149470,606.67
DESNZ,UKAEA,05/06/2023,Engineering Goods,Other,Budget Forktrucks Ltd,5149471,615.33
DESNZ,UKAEA,06/06/2023,Hired Agency Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5149472,"1,988.40"
