Department,Entity,Pay Date,Product Family,Expense area,Supplier Name,Transaction Number,Net Amount
DESNZ,UKAEA,17/07/2023,Travel,Support Services,Clarity Travel Limited,5153061,"2,820.37"
DESNZ,UKAEA,17/07/2023,Travel,Support Services,Clarity Travel Limited,5153061,"130,111.09"
DESNZ,UKAEA,10/07/2023,Energy and Fuels,Property,EDF Energy,5152553,556.07
DESNZ,UKAEA,10/07/2023,Energy and Fuels,Property,EDF Energy,5152559,595.07
DESNZ,UKAEA,10/07/2023,Energy and Fuels,Property,EDF Energy,5152595,659.15
DESNZ,UKAEA,10/07/2023,Energy and Fuels,Property,EDF Energy,5152546,716.37
DESNZ,UKAEA,10/07/2023,Energy and Fuels,Property,EDF Energy,5152598,814.26
DESNZ,UKAEA,10/07/2023,Energy and Fuels,Property,EDF Energy,5152596,882.30
DESNZ,UKAEA,10/07/2023,Energy and Fuels,Property,EDF Energy,5152600,"1,343.50"
DESNZ,UKAEA,10/07/2023,Energy and Fuels,Property,EDF Energy,5152561,"1,532.17"
DESNZ,UKAEA,10/07/2023,Energy and Fuels,Property,EDF Energy,5152552,"1,873.44"
DESNZ,UKAEA,10/07/2023,Energy and Fuels,Property,EDF Energy,5152603,"2,111.56"
DESNZ,UKAEA,10/07/2023,Energy and Fuels,Property,EDF Energy,5152601,"4,061.71"
DESNZ,UKAEA,10/07/2023,Energy and Fuels,Property,EDF Energy,5152602,"4,428.48"
DESNZ,UKAEA,10/07/2023,Energy and Fuels,Property,EDF Energy,5152558,"4,617.32"
DESNZ,UKAEA,10/07/2023,Energy and Fuels,Property,EDF Energy,5152551,"6,034.62"
DESNZ,UKAEA,10/07/2023,Energy and Fuels,Property,EDF Energy,5152592,"7,728.35"
DESNZ,UKAEA,10/07/2023,Energy and Fuels,Property,EDF Energy,5152597,"7,847.63"
DESNZ,UKAEA,05/07/2023,Energy and Fuels,Property,EDF Energy,5152144,"20,337.44"
DESNZ,UKAEA,10/07/2023,Energy and Fuels,Fusion,EDF Energy,5152549,"21,274.87"
DESNZ,UKAEA,05/07/2023,Energy and Fuels,Property,EDF Energy,5152145,"24,693.96"
DESNZ,UKAEA,10/07/2023,Energy and Fuels,Property,EDF Energy,5152605,"26,262.18"
DESNZ,UKAEA,05/07/2023,Energy and Fuels,Property,EDF Energy,5152170,"31,353.12"
