Department,Entity,Pay Date,Product Family,Expense area,Supplier Name,Transaction Number,Net Amount
DESNZ,UKAEA,09/08/2023,Energy and Fuels,Property,EDF Energy,5155355,574.67
DESNZ,UKAEA,09/08/2023,Energy and Fuels,Property,EDF Energy,5155289,686.34
DESNZ,UKAEA,09/08/2023,Energy and Fuels,Property,EDF Energy,5155339,776.58
DESNZ,UKAEA,09/08/2023,Energy and Fuels,Property,EDF Energy,5155291,858.20
DESNZ,UKAEA,09/08/2023,Energy and Fuels,Property,EDF Energy,5155350,861.14
DESNZ,UKAEA,09/08/2023,Energy and Fuels,Property,EDF Energy,5155331,"2,083.03"
DESNZ,UKAEA,09/08/2023,Energy and Fuels,Property,EDF Energy,5155330,"3,985.68"
DESNZ,UKAEA,09/08/2023,Energy and Fuels,Property,EDF Energy,5155353,"3,995.27"
DESNZ,UKAEA,09/08/2023,Energy and Fuels,Property,EDF Energy,5155338,"4,631.39"
DESNZ,UKAEA,09/08/2023,Energy and Fuels,Property,EDF Energy,5155335,"6,624.54"
DESNZ,UKAEA,09/08/2023,Energy and Fuels,Property,EDF Energy,5155290,"6,684.17"
DESNZ,UKAEA,09/08/2023,Energy and Fuels,Property,EDF Energy,5155336,"7,834.57"
DESNZ,UKAEA,09/08/2023,Energy and Fuels,Fusion,EDF Energy,5155352,"21,614.49"
DESNZ,UKAEA,09/08/2023,Energy and Fuels,Property,EDF Energy,5155356,"27,493.93"
DESNZ,UKAEA,09/08/2023,Energy and Fuels,Property,EDF Energy,5155357,"34,261.15"
DESNZ,UKAEA,09/08/2023,Energy and Fuels,Property,EDF Energy,5155354,"47,253.34"
DESNZ,UKAEA,09/08/2023,Energy and Fuels,Property,EDF Energy,5155349,"57,733.44"
DESNZ,UKAEA,09/08/2023,Energy and Fuels,Property,EDF Energy,5155337,"69,341.40"
DESNZ,UKAEA,07/08/2023,Energy and Fuels,Fusion,EDF Energy,5154988,"372,989.87"
DESNZ,UKAEA,07/08/2023,Energy and Fuels,Fusion,EDF Energy,5155174,"916,671.59"
DESNZ,UKAEA,03/08/2023,Energy and Fuels,Fusion,National Grid Plc,5154920,"3,379.62"
DESNZ,UKAEA,22/08/2023,Energy and Fuels,Property,Total Gas & Power Ltd,5156415,"25,669.32"
DESNZ,UKAEA,16/08/2023,Engineering Goods,Other,BOC Ltd,5155839,606.00
DESNZ,UKAEA,07/08/2023,Engineering Goods,Other,BOC Ltd,5154829,660.20
DESNZ,UKAEA,07/08/2023,Engineering Goods,Fusion,BOC Ltd,5154603,825.64
DESNZ,UKAEA,07/08/2023,Engineering Goods,Fusion,BOC Ltd,5154599,830.01
DESNZ,UKAEA,07/08/2023,Engineering Goods,Fusion,BOC Ltd,5154852,863.80
DESNZ,UKAEA,16/08/2023,Engineering Goods,Other,BOC Ltd,5155837,880.45
DESNZ,UKAEA,25/08/2023,Engineering Goods,Fusion,BOC Ltd,5156693,"1,144.04"
DESNZ,UKAEA,07/08/2023,Engineering Goods,Other,BOC Ltd,5154597,"1,761.15"
DESNZ,UKAEA,25/08/2023,Engineering Goods,Fusion,BOC Ltd,5156606,"2,845.50"
DESNZ,UKAEA,03/08/2023,Waste Management,Fusion,Alpha Packaging,5154539,646.98
DESNZ,UKAEA,03/08/2023,Waste Management,Fusion,Condec Industrial Maintenance,5154744,620.00
DESNZ,UKAEA,14/08/2023,Waste Management,Fusion,New Pig Ltd,5155846,507.15
DESNZ,UKAEA,07/08/2023,Waste Management,Fusion,New Pig Ltd,5155135,774.00
DESNZ,UKAEA,22/08/2023,Waste Management,Fusion,New Pig Ltd,5156434,"3,354.80"
DESNZ,UKAEA,03/08/2023,Waste Management,Fusion,Screwfix Direct Ltd,5154929,562.29
DESNZ,UKAEA,14/08/2023,Engineering Goods,Fusion,Feedwater Ltd,5155775,"3,607.50"
DESNZ,UKAEA,25/08/2023,Engineering Goods,Fusion,Kurt J. Lesker Company Ltd,5156580,"32,071.00"
DESNZ,UKAEA,03/08/2023,Engineering Goods,Other,NSG Environmental Ltd,5154482,"12,566.51"
DESNZ,UKAEA,25/08/2023,Engineering Goods,Fusion,Veolia ES UK Ltd,5156679,"17,080.06"
DESNZ,UKAEA,07/08/2023,Construction,Fusion,RS Components Ltd,5155018,798.44
DESNZ,UKAEA,09/08/2023,Engineering Goods,Fusion,A W Clarke,5155275,835.68
DESNZ,UKAEA,09/08/2023,Engineering Goods,Fusion,A W Clarke,5155276,"2,034.24"
DESNZ,UKAEA,14/08/2023,Engineering Goods,Fusion,Acal Bfi UK Limited,5155497,"19,381.00"
DESNZ,UKAEA,03/08/2023,Engineering Goods,Fusion,Acrona Engineering Ltd,5154879,"1,033.50"
DESNZ,UKAEA,03/08/2023,Engineering Goods,Fusion,Agilent Technologies LDA UK Limited,5154915,"8,053.90"
DESNZ,UKAEA,17/08/2023,Engineering Goods,Support Services,"All Metal Sales, Inc",5155879,"16,768.68"
DESNZ,UKAEA,14/08/2023,Engineering Goods,Fusion,Allectra Ltd,5155711,515.00
DESNZ,UKAEA,16/08/2023,Engineering Goods,Fusion,Amazon Filters Ltd,5155898,"2,615.56"
DESNZ,UKAEA,03/08/2023,Engineering Goods,Fusion,Batt Cables Plc,5154748,"1,362.05"
DESNZ,UKAEA,03/08/2023,Engineering Goods,Fusion,Boiswood Ltd,5154659,"2,570.64"
DESNZ,UKAEA,03/08/2023,Engineering Goods,Fusion,Boiswood Ltd,5154439,"25,551.75"
DESNZ,UKAEA,25/08/2023,Engineering Goods,Fusion,BSS Oxford,5156571,"4,215.78"
DESNZ,UKAEA,25/08/2023,Engineering Goods,Fusion,BSS Oxford,5156570,"4,569.70"
DESNZ,UKAEA,03/08/2023,Engineering Goods,Property,City Electrical Factors,5154429,505.72
DESNZ,UKAEA,22/08/2023,Engineering Goods,Fusion,City Electrical Factors,5156288,600.64
DESNZ,UKAEA,03/08/2023,Engineering Goods,Property,City Electrical Factors,5154742,"1,387.24"
DESNZ,UKAEA,10/08/2023,Engineering Goods,Fusion,Cividec instrumention GmbH,5155472,"4,268.66"
DESNZ,UKAEA,22/08/2023,Engineering Goods,Fusion,CK Isotopes Limited,5156379,"44,850.00"
