Department,Entity,Pay Date,Product Family,Expense area,Supplier Name,Transaction Number,Net Amount
DESNZ,UKAEA,11/10/2023,Office Solutions,Other,4 Imprint,5160422,"2,058.25"
DESNZ,UKAEA,16/10/2023,Communications,Support Services,4 Imprint,5160686,"1,085.50"
DESNZ,UKAEA,26/10/2023,Personnel Related,Other,Aachen Institute for Nuclear Training Gmbh,5161218,"1,328.72"
DESNZ,UKAEA,27/10/2023,Engineering Goods,Fusion,ABB Ltd,5161313,"6,557.54"
DESNZ,UKAEA,24/10/2023,Research,Fusion,Acantecs Limited,5161162,"2,112.00"
DESNZ,UKAEA,09/10/2023,Engineering Goods,Other,Acrona Engineering Ltd,5160166,515.69
DESNZ,UKAEA,04/10/2023,Engineering Goods,Other,Acrona Engineering Ltd,5159386,"1,150.00"
DESNZ,UKAEA,04/10/2023,Engineering Goods,Other,Acrona Engineering Ltd,5159456,"4,199.24"
DESNZ,UKAEA,16/10/2023,Engineering Goods,Other,Acrona Engineering Ltd,5160699,"5,021.19"
DESNZ,UKAEA,27/10/2023,Waste Management,Fusion,Adler and Allan Ltd,5161420,"5,146.38"
DESNZ,UKAEA,27/10/2023,Waste Management,Fusion,Adler and Allan Ltd,5161419,"7,518.60"
DESNZ,UKAEA,27/10/2023,Facilities,Property,Advanced Demand Side Management Limited,5161110,"29,425.54"
DESNZ,UKAEA,11/10/2023,ICT,Fusion,Advatek UK Ltd,5160477,"13,098.16"
DESNZ,UKAEA,18/10/2023,Logistics and Shipping,Fusion,Agilent Technologies LDA UK Limited,5160840,616.88
DESNZ,UKAEA,18/10/2023,Engineering Goods,Fusion,Agilent Technologies LDA UK Limited,5160840,"30,834.00"
DESNZ,UKAEA,05/10/2023,Operational Goods,Support Services,AIP Publishing LLC,5159496,"2,884.22"
DESNZ,UKAEA,11/10/2023,Engineering Goods,Fusion,Air Products Plc,5160261,"17,175.00"
DESNZ,UKAEA,04/10/2023,Engineering Goods,Fusion,Allectra Ltd,5159677,"1,040.00"
DESNZ,UKAEA,04/10/2023,Engineering Goods,Fusion,Allectra Ltd,5159677,"1,342.00"
DESNZ,UKAEA,04/10/2023,Engineering Goods,Fusion,Allectra Ltd,5159677,"1,422.00"
DESNZ,UKAEA,26/10/2023,Engineering Goods,Other,Allied High Tech Products Inc,5161264,"6,105.09"
DESNZ,UKAEA,11/10/2023,Research,Other,Alloyed Ltd,5160348,"214,028.90"
DESNZ,UKAEA,27/10/2023,Engineering Goods,Fusion,Almath Crucibles Ltd,5161363,"3,895.00"
DESNZ,UKAEA,16/10/2023,Engineering Goods,Fusion,Alpha Laboratories Ltd,5160583,792.00
DESNZ,UKAEA,27/10/2023,Construction,Fusion,Altrad Babcock Limited,5161287,"21,688.51"
DESNZ,UKAEA,06/10/2023,Construction,Support Services,Altrad Babcock Limited,5159442,"1,267.54"
DESNZ,UKAEA,06/10/2023,Construction,Support Services,Altrad Babcock Limited,5159444,"1,320.88"
DESNZ,UKAEA,06/10/2023,Construction,Support Services,Altrad Babcock Limited,5160038,"1,375.57"
DESNZ,UKAEA,06/10/2023,Construction,Support Services,Altrad Babcock Limited,5159441,"1,753.62"
DESNZ,UKAEA,27/10/2023,Construction,Property,Altrad Babcock Limited,5161365,"10,267.69"
DESNZ,UKAEA,27/10/2023,Construction,Property,Altrad Babcock Limited,5161368,"11,348.25"
DESNZ,UKAEA,27/10/2023,Construction,Property,Altrad Babcock Limited,5161366,"13,816.38"
DESNZ,UKAEA,27/10/2023,Construction,Property,Altrad Babcock Limited,5161367,"15,346.41"
DESNZ,UKAEA,09/10/2023,Facilities,Other,Amber Integrated Controls & Automation Ltd.,5160031,"19,837.50"
DESNZ,UKAEA,06/10/2023,Construction,Property,Ameresco Ltd,5159075,"76,781.48"
DESNZ,UKAEA,04/10/2023,Communications,Property,Among Equals Ltd,5159405,"4,300.00"
DESNZ,UKAEA,04/10/2023,Communications,Property,Among Equals Ltd,5159409,"4,300.00"
DESNZ,UKAEA,26/10/2023,Engineering Goods,Fusion,AMS TECHNOLOGIES AG,5161360,"3,879.00"
DESNZ,UKAEA,11/10/2023,Construction,Property,Anixter UK Ltd,5160309,"4,164.00"
DESNZ,UKAEA,04/10/2023,Professional Services,Other,Appleyard Lees IP LLP,5159605,664.80
DESNZ,UKAEA,04/10/2023,Professional Services,Other,Appleyard Lees IP LLP,5159606,"1,162.50"
DESNZ,UKAEA,04/10/2023,Professional Services,Other,Appleyard Lees IP LLP,5159612,"5,310.00"
DESNZ,UKAEA,04/10/2023,Professional Services,Other,Appleyard Lees IP LLP,5159613,850.00
DESNZ,UKAEA,16/10/2023,Research,Other,AQSORPTION LIMITED,5160504,"149,562.00"
DESNZ,UKAEA,24/10/2023,Engineering Goods,Other,Aquila Nuclear Engineering Ltd,5161128,"9,996.30"
DESNZ,UKAEA,24/10/2023,Facilities,Other,Aquila Nuclear Engineering Ltd,5161191,"32,077.12"
DESNZ,UKAEA,18/10/2023,Professional Services,Property,Arcadis Consulting (UK) Limited,5160971,"2,238.27"
DESNZ,UKAEA,18/10/2023,Professional Services,Property,Arcadis Consulting (UK) Limited,5160870,"6,943.75"
DESNZ,UKAEA,24/10/2023,Professional Services,Property,Arcadis Consulting (UK) Limited,5161125,"10,428.00"
