Department,Entity,Pay Date,Product Family,Expense area,Supplier Name,Transaction Number,Net Amount,,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Research,Other,3-Sci Ltd,5163857,"537,600.00",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Professional Services,Fusion,4C Associates Ltd,5164167,800.00,,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Professional Services,Fusion,4C Associates Ltd,5162061,"41,150.00",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Professional Services,Fusion,4C Associates Ltd,5164144,"53,165.84",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Professional Services,Fusion,4C Associates Ltd,5162061,"68,425.00",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Professional Services,Fusion,4C Associates Ltd,5164144,"74,570.74",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Engineering Goods,Fusion,A W Clarke,5163985,529.50,,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Engineering Goods,Fusion,A W Stokes & Son (Drums) Ltd,5161855,"9,680.00",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Engineering Goods,Other,A1-Cbiss Ltd T/A Hitek,5161735,515.00,,,,,,,,,,,,
DESNZ,UKAEA,15/11/2023,Engineering Goods,Fusion,Aalco Limited,5163349,535.00,,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Engineering Goods,Other,Aalco Limited,5164119,500.00,,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Engineering Goods,Other,Aalco Limited,5164115,"1,000.00",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Engineering Goods,Fusion,ABB Ltd,5161654,"12,433.40",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Research,Fusion,Acantecs Limited,5162022,"2,112.00",,,,,,,,,,,,
DESNZ,UKAEA,13/11/2023,Professional Services,Support Services,Achilles Information Ltd,5162871,"1,980.00",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,ICT,Property,ACMS UK Ltd,5161799,"9,000.00",,,,,,,,,,,,
DESNZ,UKAEA,20/11/2023,Engineering Goods,Fusion,Acrona Engineering Ltd,5163495,752.00,,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Engineering Goods,Fusion,Acrona Engineering Ltd,5163986,"7,623.70",,,,,,,,,,,,
DESNZ,UKAEA,13/11/2023,Engineering Goods,Other,Acrona Engineering Ltd,5162940,"1,907.14",,,,,,,,,,,,
DESNZ,UKAEA,15/11/2023,Engineering Goods,Other,Acrona Engineering Ltd,5163318,"2,891.70",,,,,,,,,,,,
DESNZ,UKAEA,06/11/2023,Waste Management,Fusion,Adler and Allan Ltd,5161722,"4,625.22",,,,,,,,,,,,
DESNZ,UKAEA,15/11/2023,Waste Management,Fusion,Adler and Allan Ltd,5163185,"6,034.12",,,,,,,,,,,,
DESNZ,UKAEA,09/11/2023,Logistics and Shipping,Fusion,Advanced Conductor Technologies LLC,5161814,800.13,,,,,,,,,,,,
DESNZ,UKAEA,09/11/2023,Engineering Goods,Fusion,Advanced Conductor Technologies LLC,5161931,"5,452.56",,,,,,,,,,,,
DESNZ,UKAEA,09/11/2023,Engineering Goods,Fusion,Advanced Conductor Technologies LLC,5161814,"66,410.62",,,,,,,,,,,,
DESNZ,UKAEA,20/11/2023,Consultancy - Other (per Cabinet Office definition),Fusion,Advanced Cryogenic Materials Ltd,5163528,"4,125.00",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Facilities,Property,Advanced Demand Side Management Limited,5164001,"22,943.20",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Engineering Goods,Fusion,Advanced Handling Ltd,5161890,"1,860.12",,,,,,,,,,,,
DESNZ,UKAEA,15/11/2023,ICT,Fusion,Advatek UK Ltd,5163307,"1,423.28",,,,,,,,,,,,
DESNZ,UKAEA,13/11/2023,ICT,Support Services,Advatek UK Ltd,5162881,"18,188.02",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Engineering Goods,Fusion,Advent Research Materials Ltd,5162111,"1,899.00",,,,,,,,,,,,
DESNZ,UKAEA,13/11/2023,Engineering Goods,Fusion,Agilent Technologies LDA UK Limited,5162970,"19,477.48",,,,,,,,,,,,
DESNZ,UKAEA,29/11/2023,Professional Services,Fusion,Aiha - Proficiency Testing Programm,5164147,"4,768.38",,,,,,,,,,,,
DESNZ,UKAEA,16/11/2023,Operational Goods,Fusion,AIP Publishing LLC,5163413,"2,848.77",,,,,,,,,,,,
DESNZ,UKAEA,09/11/2023,Operational Goods,Support Services,AIP Publishing LLC,5161929,"23,317.37",,,,,,,,,,,,
DESNZ,UKAEA,29/11/2023,ICT,Fusion,Air Liquide Advanced Technologies,5164041,"14,178.44",,,,,,,,,,,,
DESNZ,UKAEA,13/11/2023,ICT,Support Services,Akhter Computers Limited,5162903,"11,729.97",,,,,,,,,,,,
DESNZ,UKAEA,20/11/2023,ICT,Support Services,Akhter Computers Limited,5163456,"25,423.92",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Engineering Goods,Fusion,Algar Electric Motors Ltd,5162031,821.50,,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Engineering Goods,Support Services,Algar Electric Motors Ltd,5162031,821.50,,,,,,,,,,,,
DESNZ,UKAEA,13/11/2023,Engineering Goods,Fusion,Alker Optical Equipment Ltd.,5163092,"4,374.00",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Engineering Goods,Fusion,Allectra Ltd,5163893,"2,665.00",,,,,,,,,,,,
DESNZ,UKAEA,16/11/2023,Research,Other,Alloyed Ltd,5163415,"-214,028.90",,,,,,,,,,,,
DESNZ,UKAEA,16/11/2023,Research,Other,Alloyed Ltd,5163449,"256,834.68",,,,,,,,,,,,
DESNZ,UKAEA,29/11/2023,Engineering Goods,Fusion,Alluxa INC,5164277,"32,179.60",,,,,,,,,,,,
DESNZ,UKAEA,13/11/2023,Engineering Goods,Fusion,Alpha Laboratories Ltd,5162869,648.90,,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Construction,Fusion,Altrad Babcock Limited,5164095,"18,183.00",,,,,,,,,,,,
DESNZ,UKAEA,15/11/2023,Construction,Fusion,Altrad Babcock Limited,5163049,"101,016.68",,,,,,,,,,,,
DESNZ,UKAEA,15/11/2023,Construction,Fusion,Altrad Babcock Limited,5163050,"101,434.93",,,,,,,,,,,,
DESNZ,UKAEA,15/11/2023,Construction,Fusion,Altrad Babcock Limited,5163052,"109,435.58",,,,,,,,,,,,
DESNZ,UKAEA,15/11/2023,Construction,Fusion,Altrad Babcock Limited,5163051,"149,983.09",,,,,,,,,,,,
DESNZ,UKAEA,15/11/2023,Construction,Fusion,Altrad Babcock Limited,5163053,"168,827.87",,,,,,,,,,,,
DESNZ,UKAEA,08/11/2023,Engineering Goods,Fusion,Altrad Babcock Limited,5162608,925.92,,,,,,,,,,,,
DESNZ,UKAEA,08/11/2023,Engineering Goods,Fusion,Altrad Babcock Limited,5162607,"1,612.02",,,,,,,,,,,,
DESNZ,UKAEA,15/11/2023,Engineering Goods,Fusion,Altrad Babcock Limited,5163146,"4,461.35",,,,,,,,,,,,
