Department,Entity,Pay Date,Product Family,Expense area,Supplier Name,Transaction Number,Net Amount
DESNZ,UKAEA,13/12/2023,Professional Services,Fusion,4C Associates Ltd,5165561,"1,152.23"
DESNZ,UKAEA,13/12/2023,Professional Services,Fusion,4C Associates Ltd,5165561,"183,225.00"
DESNZ,UKAEA,19/12/2023,Learning and Development,Support Services,Abingdon & Witney Co,5166079,"2,199.00"
DESNZ,UKAEA,05/12/2023,ICT,Fusion,Academia,5164428,"54,103.82"
DESNZ,UKAEA,05/12/2023,ICT,Support Services,Academia,5165047,"263,782.29"
DESNZ,UKAEA,19/12/2023,Research,Fusion,Acantecs Limited,5165970,"2,372.00"
DESNZ,UKAEA,19/12/2023,Engineering Goods,Fusion,Acrona Engineering Ltd,5166044,"7,307.04"
DESNZ,UKAEA,11/12/2023,Engineering Goods,Fusion,Acrona Engineering Ltd,5165214,"6,602.68"
DESNZ,UKAEA,19/12/2023,Engineering Goods,Other,Acrona Engineering Ltd,5165900,"1,488.00"
DESNZ,UKAEA,19/12/2023,Waste Management,Fusion,Adler and Allan Ltd,5165919,"5,708.80"
DESNZ,UKAEA,13/12/2023,Facilities,Property,Advanced Demand Side Management Limited,5165684,"37,621.57"
DESNZ,UKAEA,19/12/2023,Engineering Goods,Fusion,Air Products Plc,5165889,"1,706.86"
DESNZ,UKAEA,20/12/2023,Logistics and Shipping,Fusion,"All Metal Sales, Inc",5166087,"2,458.67"
DESNZ,UKAEA,19/12/2023,Research,Other,Alloyed Ltd,5165998,"256,834.68"
DESNZ,UKAEA,05/12/2023,Waste Management,Fusion,Alpha Packaging,5164294,638.32
DESNZ,UKAEA,06/12/2023,Construction,Fusion,Altrad Babcock Limited,5164256,"136,504.95"
DESNZ,UKAEA,06/12/2023,Construction,Support Services,Altrad Babcock Limited,5164325,"-53,101.08"
DESNZ,UKAEA,19/12/2023,Construction,Support Services,Altrad Babcock Limited,5165848,"40,453.76"
DESNZ,UKAEA,19/12/2023,Construction,Support Services,Altrad Babcock Limited,5165847,"42,022.96"
DESNZ,UKAEA,11/12/2023,Facilities,Other,Amber Integrated Controls & Automation Ltd.,5165431,"18,410.00"
DESNZ,UKAEA,19/12/2023,Construction,Property,Ameresco Ltd,5166072,"32,250.86"
DESNZ,UKAEA,11/12/2023,ICT,Fusion,Amplicon Liveline Ltd,5165082,"1,650.63"
DESNZ,UKAEA,11/12/2023,Engineering Goods,Fusion,Anixter UK Ltd,5165146,972.00
DESNZ,UKAEA,13/12/2023,Engineering Goods,Property,Anixter UK Ltd,5165700,"2,751.38"
DESNZ,UKAEA,13/12/2023,Office Solutions,Support Services,Annodata Business Communications,5165614,"1,126.31"
DESNZ,UKAEA,11/12/2023,Research,Fusion,Ansaldo Nuclear Limited,5165083,"2,487.28"
DESNZ,UKAEA,05/12/2023,ICT,Fusion,Ansys UK Ltd,5164663,"2,450.00"
DESNZ,UKAEA,19/12/2023,Professional Services,Other,Appleyard Lees IP LLP,5165867,548.00
DESNZ,UKAEA,11/12/2023,Facilities,Other,Aquila Nuclear Engineering Ltd,5165433,"1,322.97"
DESNZ,UKAEA,05/12/2023,Facilities,Other,Aquila Nuclear Engineering Ltd,5164407,"14,035.60"
DESNZ,UKAEA,05/12/2023,Facilities,Other,Aquila Nuclear Engineering Ltd,5165062,"29,047.45"
DESNZ,UKAEA,05/12/2023,Facilities,Fusion,Arcadis (UK) Ltd.,5164438,"2,557.84"
DESNZ,UKAEA,05/12/2023,Facilities,Fusion,Arcadis (UK) Ltd.,5164957,"1,362.36"
